,Team,Matches,Points,Rating
0,England,44,"5,405",123
1,India,52,"6,102",117
2,New Zealand,32,"3,716",116
3,Australia,39,"4,344",111
4,South Africa,31,"3,345",108
5,Pakistan,35,"3,490",100
6,Bangladesh,37,"3,366",91
7,Sri Lanka,39,"3,297",85
8,West Indies,46,"3,402",74
9,Afghanistan,31,"1,844",59
